Running simulation for n_fluences=60
Tensors initialization on device cuda
Multiprobe = None

('MSE', None) RECONSTRUCTIONS

Reconstruction for fluence = 0.09999999999999999 photons/pixel
Epoch 0: loss = 0.0006352190976031125
Epoch 1: loss = 0.0006352190976031125
Epoch 2: loss = 0.0006352190976031125
Epoch 3: loss = 0.0006352190976031125
Epoch 4: loss = 0.0006352190976031125
Epoch 5: loss = 0.0006352190976031125
Early stopping at epoch 5 with loss 0.0006352190976031125
Reconstruction for fluence = 0.13141473626117564 photons/pixel
Epoch 0: loss = 0.0008332678698934615
Epoch 1: loss = 0.0008332678698934615
Epoch 2: loss = 0.0008332678698934615
Epoch 3: loss = 0.0008332678698934615
Epoch 4: loss = 0.0008332678698934615
Epoch 5: loss = 0.0008332678698934615
Early stopping at epoch 5 with loss 0.0008332678698934615
Reconstruction for fluence = 0.1726983290659435 photons/pixel
Epoch 0: loss = 0.0010897201718762517
Epoch 1: loss = 0.0010897201718762517
Epoch 2: loss = 0.0010897201718762517
Epoch 3: loss = 0.0010897201718762517
Epoch 4: loss = 0.0010897201718762517
Epoch 5: loss = 0.0010897201718762517
Early stopping at epoch 5 with loss 0.0010897201718762517
Reconstruction for fluence = 0.22695105366946683 photons/pixel
Epoch 0: loss = 0.0014233486726880074
Epoch 1: loss = 0.0014233486726880074
Epoch 2: loss = 0.0014233486726880074
Epoch 3: loss = 0.0014233486726880074
Epoch 4: loss = 0.0014233486726880074
Epoch 5: loss = 0.0014233486726880074
Early stopping at epoch 5 with loss 0.0014233486726880074
Reconstruction for fluence = 0.2982471286216891 photons/pixel
Epoch 0: loss = 0.0018407782772555947
Epoch 1: loss = 0.0018407483585178852
Epoch 2: loss = 0.001840718206949532
Epoch 3: loss = 0.0018406878225505352
Epoch 4: loss = 0.0018406577873975039
Epoch 5: loss = 0.0018406276358291507
Epoch 6: loss = 0.0018405974842607975
Epoch 7: loss = 0.0018405673326924443
Epoch 8: loss = 0.0018405371811240911
Epoch 9: loss = 0.0018405071459710598
Epoch 10: loss = 0.0018404768779873848
Epoch 11: loss = 0.0018404467264190316
Epoch 12: loss = 0.0018404165748506784
Epoch 13: loss = 0.0018403864232823253
Epoch 14: loss = 0.001840356271713972
Epoch 15: loss = 0.0018403262365609407
Epoch 16: loss = 0.0018402959685772657
Epoch 17: loss = 0.0018402658170089126
Epoch 18: loss = 0.0018402356654405594
Epoch 19: loss = 0.001840205630287528
Epoch 20: loss = 0.001840175362303853
Epoch 21: loss = 0.0018401453271508217
Epoch 22: loss = 0.0018401151755824685
Epoch 23: loss = 0.0018400850240141153
Epoch 24: loss = 0.0018400548724457622
Epoch 25: loss = 0.001840024720877409
Epoch 26: loss = 0.0018399945693090558
Epoch 27: loss = 0.0018399644177407026
Epoch 28: loss = 0.0018399342661723495
Epoch 29: loss = 0.0018399041146039963
Epoch 30: loss = 0.001839873963035643
Epoch 31: loss = 0.00183984381146729
Epoch 32: loss = 0.0018398137763142586
Epoch 33: loss = 0.0018397837411612272
Epoch 34: loss = 0.0018397534731775522
Epoch 35: loss = 0.0018397234380245209
Epoch 36: loss = 0.0018396931700408459
Epoch 37: loss = 0.0018396631348878145
Epoch 38: loss = 0.0018396329833194613
Epoch 39: loss = 0.00183960294816643
Epoch 40: loss = 0.0018395727965980768
Epoch 41: loss = 0.0018395426450297236
Epoch 42: loss = 0.0018395124934613705
Epoch 43: loss = 0.0018394824583083391
Epoch 44: loss = 0.0018394521903246641
Epoch 45: loss = 0.0018394221551716328
Epoch 46: loss = 0.0018393921200186014
Epoch 47: loss = 0.0018393618520349264
Epoch 48: loss = 0.001839331816881895
Epoch 49: loss = 0.0018393017817288637
Epoch 50: loss = 0.0018392715137451887
Epoch 51: loss = 0.0018392414785921574
Epoch 52: loss = 0.0018392113270238042
Epoch 53: loss = 0.001839181175455451
Epoch 54: loss = 0.0018391510238870978
Epoch 55: loss = 0.0018391209887340665
Epoch 56: loss = 0.0018390909535810351
Epoch 57: loss = 0.001839060802012682
Epoch 58: loss = 0.0018390306504443288
Epoch 59: loss = 0.0018390004988759756
Epoch 60: loss = 0.0018389704637229443
Epoch 61: loss = 0.0018389401957392693
Epoch 62: loss = 0.001838910160586238
Epoch 63: loss = 0.0018388801254332066
Epoch 64: loss = 0.0018388499738648534
Epoch 65: loss = 0.0018388198222965002
Epoch 66: loss = 0.0018387897871434689
Epoch 67: loss = 0.0018387596355751157
Epoch 68: loss = 0.0018387294840067625
Epoch 69: loss = 0.0018386993324384093
Epoch 70: loss = 0.0018386691808700562
Epoch 71: loss = 0.0018386391457170248
Epoch 72: loss = 0.0018386091105639935
Epoch 73: loss = 0.0018385789589956403
Epoch 74: loss = 0.001838548807427287
Epoch 75: loss = 0.0018385187722742558
Epoch 76: loss = 0.0018384887371212244
Epoch 77: loss = 0.001838458701968193
Epoch 78: loss = 0.001838428433984518
Epoch 79: loss = 0.0018383983988314867
Epoch 80: loss = 0.0018383683636784554
Epoch 81: loss = 0.0018383380956947803
Epoch 82: loss = 0.001838308060541749
Epoch 83: loss = 0.0018382780253887177
Epoch 84: loss = 0.0018382478738203645
Epoch 85: loss = 0.0018382177222520113
Epoch 86: loss = 0.0018381878035143018
Epoch 87: loss = 0.0018381576519459486
Epoch 88: loss = 0.0018381275003775954
Epoch 89: loss = 0.0018380973488092422
Epoch 90: loss = 0.001838067313656211
Epoch 91: loss = 0.0018380372785031796
Epoch 92: loss = 0.0018380071269348264
Epoch 93: loss = 0.0018379769753664732
Epoch 94: loss = 0.0018379469402134418
Epoch 95: loss = 0.0018379169050604105
Epoch 96: loss = 0.0018378867534920573
Epoch 97: loss = 0.001837856718339026
Epoch 98: loss = 0.0018378265667706728
Epoch 99: loss = 0.0018377965316176414
Epoch 100: loss = 0.0018377663800492883
Epoch 101: loss = 0.001837736228480935
Epoch 102: loss = 0.0018377061933279037
Epoch 103: loss = 0.0018376760417595506
Epoch 104: loss = 0.001837646123021841
Epoch 105: loss = 0.0018376159714534879
Epoch 106: loss = 0.0018375858198851347
Epoch 107: loss = 0.0018375557847321033
Epoch 108: loss = 0.001837525749579072
Epoch 109: loss = 0.0018374955980107188
Epoch 110: loss = 0.0018374654464423656
Epoch 111: loss = 0.0018374354112893343
Epoch 112: loss = 0.001837405376136303
Epoch 113: loss = 0.0018373753409832716
Epoch 114: loss = 0.0018373451894149184
Epoch 115: loss = 0.001837315154261887
Epoch 116: loss = 0.0018372851191088557
Epoch 117: loss = 0.0018372549675405025
Epoch 118: loss = 0.0018372249323874712
Epoch 119: loss = 0.001837194780819118
Epoch 120: loss = 0.0018371647456660867
Epoch 121: loss = 0.0018371345940977335
Epoch 122: loss = 0.0018371045589447021
Epoch 123: loss = 0.0018370745237916708
