Running simulation for n_fluences=12
Tensors initialization on device cuda
Multiprobe = None

('MSE', None) RECONSTRUCTIONS

Reconstruction for fluence = 100.0 photons/pixel
Epoch 0: loss = 1051763.7197265625 | lr = 0.1
Epoch 1: loss = 981132.75 | lr = 0.1
Epoch 2: loss = 982807.2001953125 | lr = 0.1
Epoch 3: loss = 983357.1484375 | lr = 0.1
Epoch 4: loss = 983982.3349609375 | lr = 0.1
Epoch 5: loss = 985003.5595703125 | lr = 0.1
Epoch 6: loss = 984912.9873046875 | lr = 0.1
Epoch 7: loss = 985069.2177734375 | lr = 0.1
Epoch 8: loss = 984770.619140625 | lr = 0.1
Epoch 9: loss = 985515.4638671875 | lr = 0.1
Epoch 10: loss = 985786.7568359375 | lr = 0.010000000000000002
Epoch 11: loss = 996438.5 | lr = 0.010000000000000002
Epoch 12: loss = 983132.0 | lr = 0.010000000000000002
Epoch 13: loss = 976676.0625 | lr = 0.010000000000000002
Epoch 14: loss = 977493.625 | lr = 0.010000000000000002
Epoch 15: loss = 979742.625 | lr = 0.010000000000000002
Epoch 16: loss = 980691.6875 | lr = 0.010000000000000002
Epoch 17: loss = 980118.625 | lr = 0.010000000000000002
Epoch 18: loss = 978806.25 | lr = 0.010000000000000002
Epoch 19: loss = 977538.625 | lr = 0.010000000000000002
Epoch 20: loss = 976666.0 | lr = 0.010000000000000002
Epoch 21: loss = 976192.0625 | lr = 0.010000000000000002
Epoch 22: loss = 975949.9375 | lr = 0.010000000000000002
Epoch 23: loss = 975784.75 | lr = 0.010000000000000002
Epoch 24: loss = 975611.625 | lr = 0.010000000000000002
Epoch 25: loss = 975395.4375 | lr = 0.010000000000000002
Epoch 26: loss = 975155.25 | lr = 0.010000000000000002
Epoch 27: loss = 974927.0 | lr = 0.010000000000000002
Epoch 28: loss = 974722.9375 | lr = 0.010000000000000002
Epoch 29: loss = 974547.0625 | lr = 0.010000000000000002
Epoch 30: loss = 974397.25 | lr = 0.010000000000000002
Epoch 31: loss = 974261.4375 | lr = 0.010000000000000002
Epoch 32: loss = 974133.625 | lr = 0.010000000000000002
Epoch 33: loss = 974015.375 | lr = 0.010000000000000002
Epoch 34: loss = 973913.625 | lr = 0.010000000000000002
Epoch 35: loss = 973834.375 | lr = 0.010000000000000002
Epoch 36: loss = 973772.5625 | lr = 0.010000000000000002
Epoch 37: loss = 973716.8125 | lr = 0.010000000000000002
Epoch 38: loss = 973659.5625 | lr = 0.010000000000000002
Epoch 39: loss = 973598.1875 | lr = 0.010000000000000002
Epoch 40: loss = 973537.625 | lr = 0.010000000000000002
Epoch 41: loss = 973484.75 | lr = 0.010000000000000002
Epoch 42: loss = 973442.0625 | lr = 0.010000000000000002
Epoch 43: loss = 973408.125 | lr = 0.010000000000000002
